#method,#endpoint,#returncode,#comment,#pause,#save,search,remote_server_list,earliest_time,latest_time,now,time_format,exec_mode,search_mode,rt_blocking,rt_queue_size,rt_maxblocksecs,rt_indexfilter,id,status_buckets,max_count,max_time,timeout,enable_lookups,reload_macros,reduce_freq,spawn_process,required_field_list,auto_cancel,auto_pause,namespace,invalid_argument
POST,/services/search/jobs,201,relative time,,sid://sid,search index=_internal | head 100,,,, +24h,,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid time_format,,sid://sid,search index=_internal | head 100,,,,,date: %d-%m-%y time: %H:%M:%S,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,invalid time_format (is ignored),,sid://sid,search index=_internal | head 100,,,,,%xxx,,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid exec_mode,,sid://sid,search index=_internal | head 100,,,,,,blocking,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,200,valid exec_mode (returns a 200 instead of 201),,,search index=_internal | head 100,,,,,,oneshot,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid exec_mode,,sid://sid,search index=_internal | head 100,,,,,,normal,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid exec_mode,,,search index=_internal | head 100,,,,,,invalid,,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid search_mode,,sid://sid,search index=_internal | head 100,,,,,,,normal,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid search_mode,,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid search_mode,,,search index=_internal | head 100,,,,,,,invalid,,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,entering realtime parameters without realtime search mode (is ignored),,sid://sid,search index=_internal | head 100,,,,,,,,1,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_blocking,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,TRUE,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_blocking,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,FALSE,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_blocking,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,1,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_blocking,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,0,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_blocking,5,,search index=_internal | head 100,,,,,,,realtime,-1,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_blocking,5,,search index=_internal | head 100,,,,,,,realtime,2,,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_queue_size (-1),5,,search index=_internal | head 100,,,,,,,realtime,,-1,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_queue_size (0),5,,search index=_internal | head 100,,,,,,,realtime,,0,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_queue_size,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,1,,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_queue_size (5000000),5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,#5000000,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_queue_size (2^32 + 1),5,,search index=_internal | head 100,,,,,,,realtime,,#18446744073709551616,,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_maxblocksec (-1),5,,search index=_internal | head 100,,,,,,,realtime,,,-1,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_maxblocksec,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,0,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_maxblocksec,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,1,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_maxblocksec,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,#5000000,,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_maxblocksec (2^32 + 1),5,,search index=_internal | head 100,,,,,,,realtime,,,#18446744073709551616,,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_index_fileter,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,1,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_index_fileter,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,0,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_index_fileter,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,TRUE,,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid rt_index_fileter,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,FALSE,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_index_filter,5,,search index=_internal | head 100,,,,,,,realtime,,,,-1,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid rt_index_filter,5,,search index=_internal | head 100,,,,,,,realtime,,,,2,,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid realtime id,5,,search index=_internal | head 100,,,,,,,realtime,,,,,invalid,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid realtime id rt_,5,sid://sid,search index=_internal | head 100,,,,,,,realtime,,,,,rt_valid,,,,,,,,,,,,,
POST,/services/search/jobs,201,valid id,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,valid,,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid status_bucket,,,search index=_internal | head 100,,,,,,,,,,,,,-1,,,,,,,,,,,,
POST,/services/search/jobs,201,valid status_bucket,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,0,,,,,,,,,,,,
POST,/services/search/jobs,201,valid status_bucket,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,1,,,,,,,,,,,,
POST,/services/search/jobs,201,valid status_bucket,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,#5000000,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid status_bucket,,,search index=_internal | head 100,,,,,,,,,,,,,#18446744073709551616,,,,,,,,,,,,
POST,/services/search/jobs,400,invalid max_count,,,search index=_internal | head 100,,,,,,,,,,,,,,-1,,,,,,,,,,,
POST,/services/search/jobs,201,valid max_count,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,0,,,,,,,,,,,
POST,/services/search/jobs,201,valid max_count,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,1,,,,,,,,,,,
POST,/services/search/jobs,201,valid max_count,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,#5000000,,,,,,,,,,,
POST,/services/search/jobs,400,invalid max_count,,,search index=_internal | head 100,,,,,,,,,,,,,,#18446744073709551616,,,,,,,,,,,
POST,/services/search/jobs,400,invalid max_time,,,search index=_internal | head 100,,,,,,,,,,,,,,,-1,,,,,,,,,,
POST,/services/search/jobs,201,valid max_time,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,0,,,,,,,,,,
POST,/services/search/jobs,201,valid max_time,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,1,,,,,,,,,,
POST,/services/search/jobs,201,valid max_time,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,#5000000,,,,,,,,,,
POST,/services/search/jobs,400,invalid max_time,,,search index=_internal | head 100,,,,,,,,,,,,,,,#18446744073709551616,,,,,,,,,,
POST,/services/search/jobs,400,invalid timeout,,,search index=_internal | head 100,,,,,,,,,,,,,,,,-1,,,,,,,,,
POST,/services/search/jobs,201,valid timeout,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,0,,,,,,,,,
POST,/services/search/jobs,201,valid timeout,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,1,,,,,,,,,
POST,/services/search/jobs,201,valid timeout,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,#5000000,,,,,,,,,
POST,/services/search/jobs,400,invalid timeout,,,search index=_internal | head 100,,,,,,,,,,,,,,,,#18446744073709551616,,,,,,,,,
POST,/services/search/jobs,201,valid enable_lookups,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,1,,,,,,,,
POST,/services/search/jobs,201,valid enable_lookups,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,0,,,,,,,,
POST,/services/search/jobs,201,valid enable_lookups,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
POST,/services/search/jobs,201,valid enable_lookups,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
POST,/services/search/jobs,400,invalid enable_lookups,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,-1,,,,,,,,
POST,/services/search/jobs,400,invalid enable_lookups,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,2,,,,,,,,
POST,/services/search/jobs,201,valid reload_macros,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,1,,,,,,,
POST,/services/search/jobs,201,valid reload_macros,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,0,,,,,,,
POST,/services/search/jobs,201,valid reload_macros,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
POST,/services/search/jobs,201,valid reload_macros,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,FALSE,,,,,,,
POST,/services/search/jobs,400,invalid reload_macros,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,-1,,,,,,,
POST,/services/search/jobs,400,invalid reload_macros,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,2,,,,,,,
POST,/services/search/jobs,400,invalid reduce_freq,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,-1,,,,,,
POST,/services/search/jobs,201,valid reduce_freq,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,0,,,,,,
POST,/services/search/jobs,201,valid reduce_freq,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,1,,,,,,
POST,/services/search/jobs,201,valid reduce_freq,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,#5000000,,,,,,
POST,/services/search/jobs,400,invalid reduce_freq,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,#18446744073709551616,,,,,,
POST,/services/search/jobs,201,valid spawn_process,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,1,,,,,
POST,/services/search/jobs,400,invalid spawn_process,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,0,,,,,
POST,/services/search/jobs,201,valid spawn_process,,sid://sid,| metadata type=hosts,,,,,,,,,,,,,,,,,,,,0,,,,,
POST,/services/search/jobs,201,valid spawn_process,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
POST,/services/search/jobs,400,invalid spawn_process,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
POST,/services/search/jobs,201,valid spawn_process,,sid://sid,| metadata type=hosts,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
POST,/services/search/jobs,400,invalid spawn_process,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,-1,,,,,
POST,/services/search/jobs,400,invalid spawn_process,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,2,,,,,
POST,/services/search/jobs,201,valid required_field_list,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,"_time,  _raw, host",,,,
POST,/services/search/jobs,201,invalid required_field_list (not checked),,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,"~!@#$%^&*()_+`-={}|[]\:;'<>>?,./",,,,
POST,/services/search/jobs,400,invalid auto_cancel,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,-1,,,
POST,/services/search/jobs,201,valid auto_cancel,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,0,,,
POST,/services/search/jobs,201,valid auto_cancel,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,1,,,
POST,/services/search/jobs,201,valid auto_cancel,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,#5000000,,,
POST,/services/search/jobs,400,invalid auto_cancel,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,#18446744073709551616,,,
POST,/services/search/jobs,400,invalid auto_pause,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,-1,,
POST,/services/search/jobs,201,valid auto_pause,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,0,,
POST,/services/search/jobs,201,valid auto_pause,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,1,,
POST,/services/search/jobs,201,valid auto_pause,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,#5000000,,
POST,/services/search/jobs,400,invalid auto_pause,,,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,#18446744073709551616,,
POST,/services/search/jobs,201,installed app,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,,search,
POST,/services/search/jobs,201,installed app,,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,,unix,
POST,/services/search/jobs,201,not installed app (no namespace name validation),,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,,"~!@#$%^&*()_+`-={}|[]\:;'<>>?,./",
POST,/services/search/jobs,201,invalid argument (no argument name validation),,sid://sid,search index=_internal | head 100,,,,,,,,,,,,,,,,,,,,,,,,,"~!@#$%^&*()_+`-={}|[]\:;'<>>?,./"
